id,name,contact_name,email,phone,address,notes,created_at,updated_at
d1b1eab0-57c3-55be-9a60-5c1404f1597f,"Airflight Insurance",,,,,,,
7eae7841-5b49-5620-a434-07e7fe70e7a8,"American Eagle",,,,,,,
e96bc647-6c97-573b-a96c-db1ffc54a83e,"American Express",,,,,,,
0ab8bfbc-e7e8-5fdf-87f7-680d8bbeb6ce,"American Express Accrual",,,,,,,
8980e7a3-25fe-5346-8d06-7f93531b3ddc,"American Express Closing Date",,,,,,,
f3ee9780-c722-502b-b865-437264a157e1,"American Express Payment",,,,,,,
89402a1b-d62e-523a-bd66-cb5d0164feee,"American Express TVL",,,,,,,
e4171360-53bf-510d-a4f6-de2e9c094758,"Amex CC",,,,,,,
024ed790-c1f6-5e35-8351-e637f6e0ecd2,"Amex Travel",,,,,,,
f5ea209c-5b1c-58a4-80d7-ce3f42ab6bb6,"BP OIL",,,,,,,
51c851cb-fac4-57d9-8239-56d150a4ad53,"Capital Grille",,,,,,,
30080e21-1c61-51b1-948c-b16aa7c81a7d,"Contactors NAT LAD",,,,,,,
a4964651-d049-5035-84b4-7f95555e5fcd,"DMP Vault Payment American Eagle",,,,,,,
7ad5c9a3-6a37-55b2-a812-12d16abc4839,"DMP Vault Pymts East & West American Eagle",,,,,,,
5cd74e08-3324-5dcf-bdd6-f9f884484abc,"DMP Vault Pymts West American Eagle",,,,,,,
68a2b132-1756-5f5f-86ea-2976ceaa766a,"Elavon Service FEE",,,,,,,
6e1c004b-87b1-5114-8607-37ed68b5b4df,"EZ Storage",,,,,,,
c9566e1b-6828-5c99-881e-2f5a2168f66f,"Five Guys",,,,,,,
91266113-08cf-5e81-a288-ec983a289c36,"Franklin Athletic Club",,,,,,,
e14b9646-b29e-5cd2-8bb1-3b50685d3187,"Hertz CAR Rental",,,,,,,
107fea50-2041-568a-b4d6-298f9d68731f,"Jaxkarwash",,,,,,,
ddc2871b-52a8-5135-89d5-dab9c5d43b5e,"Jett Pump & Valve",,,,,,,
994170f7-5123-58aa-895c-582cb7b1627e,"Marriott Suites",,,,,,,
77d62740-b0e7-5731-b162-2f4cb8e86d7f,"MI Corporations DIV",,,,,,,
4fbcb800-a1a8-5130-8049-eb5739fa1749,"Panera Bread",,,,,,,
01059055-f8f1-504a-84e3-8013b40e8dba,"Points Redeemed For Statement Credit Tibtsadik",,,,,,,
45142e05-5886-5968-bd96-080014f835e6,"Prime",,,,,,,
544bfadf-7d01-57a5-a155-f6b47d7145d1,"Sams Club",,,,,,,
e282e11e-7180-507a-9256-34c439c9dff9,"SEC OF State",,,,,,,
e0da12e0-7778-5f32-9f92-342939a36795,"Speedway",,,,,,,
1dbc1f0f-f0d8-5144-8bcf-ee5c26f0a1c7,"Stoney River",,,,,,,
8a03cde4-2414-57b7-ab8d-5b9effab11ad,"Street Grill",,,,,,,
faf91ab1-2114-5a9b-8135-69154f025c3c,"Texas Roadhouse",,,,,,,
9a22d941-c8cf-5be2-958e-61e6e0ea2bfc,"Thryv Computer Store",,,,,,,
5024a8c6-2409-5c29-ba10-ae5fd612cfe1,"TM",,,,,,,
912540b4-4a3e-5fbd-bea0-1e1da48b5fb5,"U",,,,,,,
31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank",,,,,,,
77f8550a-5fa8-5c0b-918e-62e5d379f68b,"US Bank CC",,,,,,,
5992e860-f832-5c3d-ada5-3e7c3647a9cd,"Vals Delicatessen",,,,,,,
19059734-8ede-50a0-b061-3028f0632441,"Vzwrlss",,,,,,,
de7bed5e-22b7-516e-abdd-b6702d14f2c2,"W",,,,,,,
